gen,beta,x,y,abund,muFit,sigmaFit,muDisp,sigmaDisp
29,0,0,6,105,0.0433345681669367,0.19211215502349,-100,0
29,0,0,2,86,0.0477373565067722,0.15079718020369,-100,0
29,0,0,3,109,0.0488756797103808,0.174323132519353,-100,0
30,0,0,4,104,0.0435015816019237,0.174630083865086,-100,0
30,0,0,5,84,0.0499309169079897,0.143483442518857,-100,0
30,0,0,10,92,0.0500658647542836,0.16679977011077,-100,0
30,0,0,7,116,0.0427421514892667,0.172095500150336,-100,0
30,0,0,1,86,0.0460961095385121,0.180814002632683,-100,0
30,0,0,9,87,0.0552435052805896,0.147959257533542,-100,0
30,0,0,8,88,0.0430369091176591,0.173557709200372,-100,0
30,0,0,6,98,0.0459704708061866,0.192208730925045,-100,0
30,0,0,2,98,0.0467651063011827,0.149763528131243,-100,0
30,0,0,3,97,0.0490570083283791,0.168526142201361,-100,0
31,0,0,4,97,0.0430818489149623,0.173066532017912,-100,0
31,0,0,5,107,0.0503493890389094,0.139748713954147,-100,0
31,0,0,10,105,0.0508266248543408,0.166101199297003,-100,0
31,0,0,7,102,0.042719110756787,0.171517154131731,-100,0
31,0,0,1,84,0.0449471187308082,0.180142267941235,-100,0
31,0,0,9,102,0.0551779209018969,0.148578966251671,-100,0
31,0,0,8,86,0.0423631079114231,0.160408941401374,-100,0
31,0,0,6,92,0.0450058054267975,0.188908442660384,-100,0
31,0,0,2,123,0.0464963209705003,0.15255302708947,-100,0
31,0,0,3,93,0.0482542532262539,0.177550878716021,-100,0
32,0,0,4,77,0.0421839159465695,0.171893340664404,-100,0
32,0,0,5,102,0.0506283335557747,0.145661503280403,-100,0
32,0,0,10,106,0.0498583152304135,0.167688149223608,-100,0
32,0,0,7,105,0.0439397128940601,0.169395320861056,-100,0
32,0,0,1,93,0.0452781634050031,0.185881374605638,-100,0
32,0,0,9,96,0.0556495707343422,0.150827947755422,-100,0
32,0,0,8,93,0.0450591958256824,0.165351264557051,-100,0
32,0,0,6,89,0.0450391401377523,0.191478438946339,-100,0
32,0,0,2,95,0.0458777787149542,0.151476504981308,-100,0
32,0,0,3,92,0.0500568072622599,0.171447869287331,-100,0
33,0,0,4,95,0.0436953175089761,0.172311535829951,-100,0
33,0,0,5,88,0.0506787212594128,0.151303576310838,-100,0
33,0,0,10,107,0.05036343705593,0.166683934941472,-100,0
33,0,0,7,125,0.0439273612414406,0.169669115952583,-100,0
33,0,0,1,107,0.0460390122547879,0.185157444394487,-100,0
33,0,0,9,91,0.0557928215325109,0.150564833314851,-100,0
33,0,0,8,97,0.0441542372293378,0.162379669535713,-100,0
33,0,0,6,95,0.0442548022385398,0.182807064449337,-100,0
33,0,0,2,96,0.0466090382218886,0.148301201591009,-100,0
33,0,0,3,96,0.0498209187845968,0.178260306699998,-100,0
34,0,0,4,94,0.0436826263902162,0.172253747532266,-100,0
34,0,0,5,88,0.0502809676593993,0.159904092478304,-100,0
34,0,0,10,94,0.0502992912217757,0.172573334646901,-100,0
34,0,0,7,106,0.0445846926564261,0.171163300036343,-100,0
34,0,0,1,93,0.0455256098282831,0.184621250425313,-100,0
34,0,0,9,102,0.0569504927011053,0.14191359083038,-100,0
34,0,0,8,96,0.0435687084698281,0.164103226346778,-100,0
34,0,0,6,96,0.0433981170523429,0.168088424884103,-100,0
34,0,0,2,110,0.0466390433487316,0.147336318583329,-100,0
34,0,0,3,101,0.0485435257568321,0.187163718174477,-100,0
35,0,0,4,98,0.0443073795182498,0.175635798396718,-100,0
35,0,0,5,94,0.0492618710176735,0.163799032601983,-100,0
35,0,0,10,96,0.048943841765861,0.176395022137821,-100,0
35,0,0,7,98,0.0439687971718593,0.174042222556117,-100,0
35,0,0,1,90,0.0473438690228797,0.190468951379677,-100,0
35,0,0,9,84,0.0572334101467854,0.139754493813911,-100,0
35,0,0,8,105,0.0439924891397426,0.163422409003837,-100,0
35,0,0,6,93,0.044092700678526,0.166783165510358,-100,0
35,0,0,2,89,0.0469828820766282,0.146082749958924,-100,0
35,0,0,3,103,0.0500211448170074,0.181632000894234,-100,0
36,0,0,4,103,0.0434576929583316,0.166434440825269,-100,0
36,0,0,5,95,0.0502145848245784,0.16425995946303,-100,0
36,0,0,10,99,0.0491103872217976,0.177848407344424,-100,0
36,0,0,7,101,0.0444479941331544,0.174533444850321,-100,0
36,0,0,1,104,0.04738131394627,0.182627949629346,-100,0
36,0,0,9,109,0.0573337795476564,0.141478889321553,-100,0
36,0,0,8,101,0.0435806372959322,0.161284395114281,-100,0
36,0,0,6,92,0.0436259064281657,0.165196334062925,-100,0
36,0,0,2,79,0.0476563692531878,0.146137542892983,-100,0
36,0,0,3,108,0.0517502751870736,0.180638597093857,-100,0
37,0,0,4,116,0.0431208576688997,0.161764354661328,-100,0
37,0,0,5,98,0.0498474296183098,0.163980610116109,-100,0
37,0,0,10,91,0.0472073535896762,0.182939186255745,-100,0
37,0,0,7,97,0.0451251685964872,0.175495270084236,-100,0
37,0,0,1,96,0.0466004449945187,0.184497968174926,-100,0
37,0,0,9,94,0.0581663606462992,0.140944515644887,-100,0
37,0,0,8,86,0.0448316836148674,0.160019745702188,-100,0
37,0,0,6,123,0.0436749776609429,0.166027606111005,-100,0
37,0,0,2,104,0.0490505075584862,0.147624721521517,-100,0
37,0,0,3,88,0.0509580558965973,0.180877891740208,-100,0
38,0,0,4,102,0.0429308475595474,0.162675968087546,-100,0
38,0,0,5,100,0.0483044008454178,0.171791397202785,-100,0
38,0,0,10,89,0.0484422996684042,0.179156415694161,-100,0
38,0,0,7,99,0.0450831410997252,0.173886493524849,-100,0
38,0,0,1,109,0.0460134274473916,0.179631301177044,-100,0
38,0,0,9,92,0.0580308678341447,0.147621315156824,-100,0
38,0,0,8,102,0.0444985729601802,0.160583772042586,-100,0
38,0,0,6,92,0.0428680501929717,0.166398886637678,-100,0
38,0,0,2,101,0.048451489975608,0.148793077111891,-100,0
38,0,0,3,94,0.0491931997751441,0.182134663351265,-100,0
39,0,0,4,103,0.0434552805912959,0.166961348308429,-100,0
39,0,0,5,89,0.0493510138074618,0.169168953999426,-100,0
39,0,0,10,91,0.0477797171057536,0.179630441199303,-100,0
39,0,0,7,94,0.045182451439198,0.173602817164213,-100,0
39,0,0,1,96,0.0459043515561758,0.172950082629486,-100,0
39,0,0,9,104,0.0586357626020239,0.145118347327514,-100,0
39,0,0,8,101,0.0448633530761208,0.162400946798081,-100,0
39,0,0,6,107,0.0439376335706733,0.16609611694955,-100,0
39,0,0,2,85,0.0485786716790691,0.153524298186829,-100,0
39,0,0,3,97,0.0493676560395258,0.192110169574354,-100,0
40,0,0,4,106,0.042335096648217,0.169217441728289,-100,0
40,0,0,5,104,0.0494518416227239,0.178382572224682,-100,0
40,0,0,10,90,0.04677642539313,0.177095315051199,-100,0
40,0,0,7,88,0.0451917701327598,0.17331422901185,-100,0
40,0,0,1,118,0.0462037459796583,0.176333360373132,-100,0
40,0,0,9,110,0.0591569641605576,0.148130207195883,-100,0
40,0,0,8,83,0.0443977273993908,0.163703508401049,-100,0
40,0,0,6,95,0.0428829274637523,0.167672194523889,-100,0
40,0,0,2,97,0.0488407450361174,0.145028785861586,-100,0
40,0,0,3,84,0.0484966232875505,0.203880068599401,-100,0
41,0,0,4,93,0.0415478569624215,0.160364176613855,-100,0
41,0,0,5,101,0.0501757939282561,0.178319629137587,-100,0
41,0,0,10,86,0.0473448800738813,0.169383383231807,-100,0
41,0,0,7,78,0.0464711646773894,0.167578298184359,-100,0
41,0,0,1,84,0.0465447326838726,0.185719801717356,-100,0
41,0,0,9,81,0.0589217727904766,0.16594027988884,-100,0
41,0,0,8,105,0.0445877979318773,0.165449490693827,-100,0
41,0,0,6,103,0.0422037638609587,0.169959517242795,-100,0
41,0,0,2,81,0.048305029253432,0.14601563239792,-100,0
41,0,0,3,92,0.0503927271456124,0.196025330608977,-100,0
42,0,0,4,95,0.0414174490574071,0.161073561330325,-100,0
42,0,0,5,100,0.049948243243361,0.187521566041204,-100,0
42,0,0,10,94,0.0483135854850216,0.15374924254842,-100,0
42,0,0,7,90,0.0470117688211135,0.160785172584087,-100,0
42,0,0,1,91,0.0466125380434186,0.190726098666318,-100,0
42,0,0,9,102,0.0576571716879535,0.154887829753506,-100,0
42,0,0,8,96,0.0439267774026492,0.162998159880234,-100,0
42,0,0,6,100,0.0420787597020389,0.168806781522304,-100,0
42,0,0,2,96,0.0486537786364503,0.145899754292713,-100,0
42,0,0,3,106,0.0510506742351789,0.195708870954735,-100,0
43,0,0,4,79,0.0411124171833885,0.148112568088002,-100,0
43,0,0,5,90,0.0501846997905294,0.182065644051449,-100,0
43,0,0,10,103,0.0481841272604329,0.157528371234936,-100,0
43,0,0,7,100,0.0482226065952165,0.161969376761187,-100,0
43,0,0,1,101,0.0462640829188355,0.199166999071035,-100,0
43,0,0,9,88,0.0582411808956359,0.152927910744431,-100,0
43,0,0,8,94,0.0432509522764681,0.162600751810337,-100,0
43,0,0,6,105,0.0425193668219785,0.1637161823841,-100,0
43,0,0,2,103,0.0485022035819127,0.146242339500284,-100,0
43,0,0,3,105,0.050756715988704,0.195394929846518,-100,0
44,0,0,4,100,0.0408059267009917,0.157194546974154,-100,0
44,0,0,5,103,0.0518375386982322,0.170561131494615,-100,0
